student_id,name,password
student01,student1,123456
student02,student2,123456
student03,student3,123456
student04,student4,123456
student05,student5,123456
student06,student6,123456
student07,student7,123456
student08,student8,123456
student09,student9,123456
student10,student10,123456
student11,student11,123456
student12,student12,123456
student13,student13,123456
student14,student14,123456
student15,student15,123456
student16,student16,123456
student17,student17,123456
student18,student18,123456
student19,student19,123456
student20,student20,123456
student21,student21,123456
student22,student22,123456
student23,student23,123456
student24,student24,123456
student25,student25,123456
student26,student26,123456
student27,student27,123456
student28,student28,123456
student29,student29,123456
student30,student30,123456
student31,student31,123456
student32,student32,123456
student33,student33,123456
student34,student34,123456
student35,student35,123456
student36,student36,123456
student37,student37,123456
student38,student38,123456
student39,student39,123456
student40,student40,123456
student41,student41,123456
student42,student42,123456
student43,student43,123456
